data_ref,index,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda,mau
2015-09-01,6593,F,N,S,0,Pensionista,Médio,Casado,Casa,62,,2.0,5466.64,False
2015-12-01,1403,F,N,S,0,Pensionista,Médio,Casado,Casa,58,,2.0,6235.48,False
2015-12-01,11876,F,S,N,0,Assalariado,Médio,Casado,Casa,30,1.991780821917808,2.0,1588.68,False
2015-08-01,13388,M,S,N,1,Empresário,Superior completo,Casado,Governamental,42,2.432876712328768,3.0,12398.49,False
2015-05-01,4678,F,S,N,0,Servidor público,Médio,União,Casa,45,19.534246575342465,2.0,101062.66,False
2015-12-01,12091,F,N,N,1,Assalariado,Médio,Casado,Casa,40,11.32876712328767,3.0,11635.21,False
2015-10-01,6960,F,N,S,0,Pensionista,Médio,Casado,Governamental,59,,2.0,10774.15,False
2015-06-01,8905,F,N,S,0,Assalariado,Médio,Casado,Casa,47,3.0465753424657533,2.0,4083.24,False
2015-09-01,2901,F,N,S,0,Assalariado,Médio,Casado,Casa,45,1.641095890410959,2.0,12210.26,False
2015-05-01,8289,F,N,S,0,Assalariado,Superior incompleto,Casado,Casa,41,4.134246575342465,2.0,26876.2,False
2015-09-01,6735,M,S,S,1,Assalariado,Médio,Casado,Casa,43,10.967123287671232,3.0,34039.96,False
2015-04-01,15150,F,S,N,2,Assalariado,Superior completo,Casado,Casa,34,8.747945205479452,4.0,18381.98,False
2015-03-01,8223,F,N,S,0,Pensionista,Superior completo,Solteiro,Casa,58,,1.0,4563.46,False
2015-01-01,3420,F,N,S,0,Assalariado,Superior completo,Casado,Casa,57,13.194520547945206,2.0,4726.72,False
2015-03-01,10420,F,N,S,0,Pensionista,Superior completo,Casado,Casa,60,,2.0,19674.9,False
2015-05-01,10719,M,N,N,1,Assalariado,Médio,Casado,Casa,28,1.4328767123287671,3.0,2545.57,False
2015-03-01,5559,M,N,N,2,Assalariado,Superior completo,União,Casa,45,8.46027397260274,4.0,1538.59,False
2015-06-01,8298,F,S,S,0,Assalariado,Médio,Casado,Casa,58,9.975342465753425,2.0,66489.14,False
2016-02-01,10468,F,S,S,0,Pensionista,Médio,Casado,Casa,54,,2.0,6097.72,False
2015-10-01,14980,F,N,S,0,Empresário,Superior completo,Solteiro,Casa,28,3.764383561643836,1.0,6124.15,True
2016-03-01,3364,M,S,S,0,Assalariado,Médio,Casado,Casa,59,7.410958904109589,2.0,1255.72,False
2015-08-01,13584,F,N,N,2,Servidor público,Médio,Casado,Casa,33,5.435616438356164,4.0,32803.27,False
2015-03-01,5279,M,S,S,1,Empresário,Superior completo,Casado,Casa,34,9.101369863013698,3.0,20703.68,False
2015-10-01,5526,F,N,N,0,Pensionista,Médio,Separado,Casa,65,,1.0,4444.11,False
2015-03-01,393,F,N,S,2,Assalariado,Médio,Casado,Casa,29,6.441095890410959,4.0,2326.92,False
2015-10-01,423,F,N,S,1,Servidor público,Superior incompleto,União,Casa,29,9.780821917808218,3.0,71765.38,False
2015-08-01,7114,M,S,S,0,Assalariado,Médio,Casado,Casa,46,4.712328767123288,2.0,24561.53,False
2015-01-01,6150,F,S,N,1,Assalariado,Médio,Casado,Casa,29,11.58904109589041,3.0,2673.35,False
2015-11-01,9322,M,N,N,0,Assalariado,Médio,Separado,Com os pais,36,3.1780821917808217,1.0,6001.55,False
2015-09-01,15807,F,N,S,0,Empresário,Superior completo,União,Casa,63,15.36164383561644,2.0,83772.37,False
2015-09-01,16371,F,N,S,0,Assalariado,Médio,Solteiro,Casa,39,8.052054794520547,1.0,35945.38,False
2015-08-01,4792,F,S,S,0,Servidor público,Superior completo,Casado,Casa,60,34.12328767123287,2.0,989750.04,False
